capx_at_d_rank,q_Mean_1,q_Mean_3
1,2.6039821485,1.9428628781
2,2.2860901168,1.9099164357
3,1.8455522205,1.9690967663
4,1.9416517502,2.0676048936
5,1.7362965778,2.1928091475
6,1.747114681,2.2888288371
7,1.7125887009,2.6213253869
8,1.7296060562,2.8892575291
9,1.7796523711,3.1255100934
10,2.0541790267,4.4283921305
