sales_d_rank,q_Mean_1,q_Mean_3
1,2.0931388059,2.014720837
2,1.8322689852,2.0223825603
3,1.6930898073,2.2162601959
4,1.6470367714,2.3177263199
5,1.6716346607,2.1783931769
6,1.5592040856,2.1504300414
7,1.4251493846,2.1298390947
8,1.4888602625,2.1732028343
9,1.501497099,2.1694817432
10,1.6625465403,2.3608415056
