sales_d_rank,roce_Mean_1,roce_Mean_3
1,-0.062848869,-0.053817653
2,-0.007520551,-0.030872133
3,0.0438580191,0.0016269359
4,0.0618455954,0.024242963
5,0.0604037083,0.0407793118
6,0.0667990365,0.0436394514
7,0.0621346438,0.069029134
8,0.0647941664,0.0788536529
9,0.0703297571,0.0832687623
10,0.0725248752,0.0931920103
