sales_d_rank,q_Mean_1,q_Mean_3
1,1.9594021061,1.7943100689
2,1.8905137446,1.9359024562
3,1.6275667109,2.129995983
4,1.4873471195,2.1768269074
5,1.4749590217,2.1436943575
6,1.4372810211,2.0956245939
7,1.3680365626,2.1244333479
8,1.3823953776,2.1576496541
9,1.4453952177,2.0969085201
10,1.5152882492,2.3667050474
